auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintages.count,vintages.items,weighted_rating_score,wish_list
0,0.0,The darkest of our microbrews. A nice accompaniment to steaks and heartier fare.,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Sturgeon Stout,mad-crab-restaurant-and-brewery-sturgeon-stout,Stout - Other,2078,809,https://untappd.akamaized.net/site/brewery_logos/brewery-MadCrabRestaurantandBrewery_809.jpeg,Mad Crab Restaurant and Brewery,mad-crab-restaurant-and-brewery,Micro Brewery,,,,United States,Strongsville,OH,41.3218,-81.8578,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,0,0.0,0,3,3,0,0,[],3.59537,False
0,0.0,Bees and caffeine put the buzz in this full-bodied brew. Enhances the flavor of chicken and pasta entrees.,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Buzz Beer,mad-crab-restaurant-and-brewery-buzz-beer,Pale Ale - American,2079,809,https://untappd.akamaized.net/site/brewery_logos/brewery-MadCrabRestaurantandBrewery_809.jpeg,Mad Crab Restaurant and Brewery,mad-crab-restaurant-and-brewery,Micro Brewery,,,,United States,Strongsville,OH,41.3218,-81.8578,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,0,0.0,0,3,3,0,0,[],3.59537,False
0,0.0,"A traditional lager. It provides a good finish to most seafood, such as scallops, perch, and salmon.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Pirates Pilsner,mad-crab-restaurant-and-brewery-pirates-pilsner,Pilsner - Other,2080,809,https://untappd.akamaized.net/site/brewery_logos/brewery-MadCrabRestaurantandBrewery_809.jpeg,Mad Crab Restaurant and Brewery,mad-crab-restaurant-and-brewery,Micro Brewery,,,,United States,Strongsville,OH,41.3218,-81.8578,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,0,0.0,0,4,4,0,0,[],3.59537,False
0,0.0,This wheat microbrew is the lightest of our fare. A nice compliment to mild fish such as cod. ,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Riptide Wheat,mad-crab-restaurant-and-brewery-riptide-wheat,Pale Wheat Ale - American,2081,809,https://untappd.akamaized.net/site/brewery_logos/brewery-MadCrabRestaurantandBrewery_809.jpeg,Mad Crab Restaurant and Brewery,mad-crab-restaurant-and-brewery,Micro Brewery,,,,United States,Strongsville,OH,41.3218,-81.8578,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,0,0.0,0,5,5,0,0,[],3.59537,False
0,6.0,"The English-style brown ale has an alluring mahogany color capped by a rich foam head. It is brewed with six different varieties of premium malted barley, creates a robust body and delicious flavor profile featuring hints of chocolate, raisins, dates and almonds. Its ripe fruit notes and malty-sweet finish are counterbalanced by a subtle hop bitterness and aroma.",35,https://untappd.akamaized.net/site/beer_logos/beer-NutBrownAle_17645.jpeg,,Nut Brown Ale,arcadia-brewing-company-arcadia-ales-nut-brown-ale,Brown Ale - English,17645,47,https://untappd.akamaized.net/site/brewery_logos/brewery-47_b355b.jpeg,Arcadia Brewing Company (Arcadia Ales),arcadia-brewing-company-arcadia-ales,Micro Brewery,http://www.facebook.com/arcadiaales,ArcadiaAles,http://www.arcadiaales.com/,United States,Kalamazoo,MI,42.2953,-85.5713,,,"Sun, 26 Dec 2010 11:51:21 +0000",0,1,17645.0,"Thu, 17 Nov 2011 12:49:16 +0000",2082.0,5204,3.38562,5,6885,5887,0,0,[],3.40034,False
0,7.0,"Travel to a time of brewer's lore, when smoke was spelled ""smoake,"" when dark beers held the collective hearts and minds of the people of merry old England. Believe it or not, back in the1850s, Porter ruled the beer world, and no one brewed Porter like the brewers of London. Drawing their water from the Thames, blending old and new batches, and experimenting with new types of malt, Porter evolved throughout the years, and probably at one time held some substantial smoakiness. Arcadia's London Porter draws on this rich historic tradition, but adds a few special twists to make it all our own. The flavor of London Porter is multi-layered, starting with a bold, pleasing sweetened coffee richness, which gives way to round and subtle smoke, much like a delicately smoked ham. Porcine sweetness is capped by a gloss of fig jam or cherry compote, fruity and complex. Faint pear and hay notes barely poke through, reminders that there are some delightful American Glacier hops under all the finery. ",22,https://untappd.akamaized.net/site/beer_logos/beer-LondonStylePorter_2083.jpeg,,London Style Porter,arcadia-brewing-company-arcadia-ales-london-style-porter,Porter - English,2083,47,https://untappd.akamaized.net/site/brewery_logos/brewery-47_b355b.jpeg,Arcadia Brewing Company (Arcadia Ales),arcadia-brewing-company-arcadia-ales,Micro Brewery,http://www.facebook.com/arcadiaales,ArcadiaAles,http://www.arcadiaales.com/,United States,Kalamazoo,MI,42.2953,-85.5713,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,4588,3.51117,28,5832,5113,0,0,[],3.5199,False
0,5.6,"This Irish oat malt stout is brewed with a generous portion of malted oats, imparting a unique flavor and texture which distinguishes it from most dry stouts. It is robust yet well-balanced, with a chocolaty, roasted malt character and a creamy mouth feel. The subtle yet complex hop flavor is provided by Willamette hops. This is the only brand we brew exclusively as a nitrogenated draft. ",29,https://untappd.akamaized.net/site/beer_logos/beer-2084_4755d_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-2084_6e2b9_hd.jpeg,Starboard Stout,arcadia-brewing-company-arcadia-ales-starboard-stout,Stout - Oatmeal,2084,47,https://untappd.akamaized.net/site/brewery_logos/brewery-47_b355b.jpeg,Arcadia Brewing Company (Arcadia Ales),arcadia-brewing-company-arcadia-ales,Micro Brewery,http://www.facebook.com/arcadiaales,ArcadiaAles,http://www.arcadiaales.com/,United States,Kalamazoo,MI,42.2953,-85.5713,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,4530,3.51832,39,5703,5063,0,0,[],3.5267,False
0,5.5,,0,https://untappd.akamaized.net/site/beer_logos/beer-LakeSuperiorESB_2711.jpeg,,Lake Superior ESB,arcadia-brewing-company-arcadia-ales-lake-superior-esb,Extra Special / Strong Bitter,2711,47,https://untappd.akamaized.net/site/brewery_logos/brewery-47_b355b.jpeg,Arcadia Brewing Company (Arcadia Ales),arcadia-brewing-company-arcadia-ales,Micro Brewery,http://www.facebook.com/arcadiaales,ArcadiaAles,http://www.arcadiaales.com/,United States,Kalamazoo,MI,42.2953,-85.5713,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,2711.0,"Mon, 20 Feb 2012 20:52:33 +0000",2085.0,256,3.39648,0,337,314,0,0,[],3.53396,False
0,5.0,"The strikingly authentic English-style pale ale is brewed with all-English malts and a pound-and-a-half of Pacific Northwest hops per barrel. It is medium-bodied, crisp and well-balanced with a flavor profile featuring subtle notes of caramel, toffee and toasted malt, counterbalanced by the ideal level of hop bitterness. The delicate herbal hop finish is produced by Goldings whole leaf hops.",16,https://untappd.akamaized.net/site/beer_logos/beer-AnglersAle_12044.jpeg,,Angler's Ale,arcadia-brewing-company-arcadia-ales-angler-s-ale,Pale Ale - English,12044,47,https://untappd.akamaized.net/site/brewery_logos/brewery-47_b355b.jpeg,Arcadia Brewing Company (Arcadia Ales),arcadia-brewing-company-arcadia-ales,Micro Brewery,http://www.facebook.com/arcadiaales,ArcadiaAles,http://www.arcadiaales.com/,United States,Kalamazoo,MI,42.2953,-85.5713,,,"Tue, 30 Nov 2010 10:36:12 +0000",0,1,12044.0,"Thu, 01 Jan 1970 00:00:00 +0000",2086.0,4025,3.31242,23,5508,4629,0,0,[],3.33633,False
0,5.25,,0,https://untappd.akamaized.net/site/beer_logos/beer-_2088_sm_a92be573de0b640723465464a7778d.jpeg,,Midnight Stout,olde-peninsula-brewpub-midnight-stout,Stout - American,2088,943,https://untappd.akamaized.net/site/brewery_logos/brewery-oldepeninsulabrewpubandrestaurant_943.jpeg,Olde Peninsula Brewpub,olde-peninsula-brewpub,Brew Pub,http://www.facebook.com/pages/Olde-Peninsula-Brewpub-and-Restaurant/216012735231,OPBrewerDan,http://oldepenkazoo.com/,United States,Kalamazoo,MI,42.2917,-85.5816,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,659,3.60129,6,818,726,0,0,[],3.61696,False
