beer.auth_rating,beer.beer_abv,beer.beer_description,beer.beer_ibu,beer.beer_label,beer.beer_name,beer.beer_slug,beer.beer_style,beer.bid,beer.created_at,beer.rating_count,beer.rating_score,beer.wish_list,brewery.brewery_active,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.contact.facebook,brewery.contact.instagram,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,count,first_checkin_id,first_created_at,first_had,rating_score,recent_checkin_id,recent_created_at,recent_created_at_timezone
4.0,7.0,"Made with “Pedal Power,” this American IPA greets you with lush floral, citrus, and tropical fruit on the nose.  This medium bodied ale with a touch of sweetness gears you up for a finish full of tangerines and grapefruit.  A hoppy beauty that will take you for a ride!!",61,https://untappd.akamaized.net/site/beer_logos/beer-166939_b697c_sm.jpeg,Incredible Pedal IPA,denver-beer-co-incredible-pedal-ipa,IPA - American,166939,"Tue, 01 May 2012 18:56:23 +0000",9591,3.818,False,1,14828,https://untappd.akamaized.net/site/brewery_logos/brewery-DenverBeerCompany_14828.jpeg,Denver Beer Co.,denver-beer-co,http://www.facebook.com/DenverBeerCompany,denverbeerco,Denverbeerco,http://www.denverbeerco.com,United States,Denver,CO,39.7582,-105.007,1,449345930,"Sat, 06 May 2017 18:45:51 -0600","Sat, 06 May 2017 18:45:51 -0600",4.0,449345930,"Sat, 06 May 2017 18:45:51 -0600",-6
3.75,5.9,NO_INFORMATION,55,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,Citra Pale Ale,upslope-brewing-company-citra-pale-ale,Pale Ale - American,807339,"Wed, 10 Sep 2014 21:16:17 +0000",2622,3.8280000000000003,False,1,1860,https://untappd.akamaized.net/site/brewery_logos/brewery-UpslopeBrewing_1860.jpeg,Upslope Brewing Company,upslope-brewing-company,https://www.facebook.com/upslopebrewing,upslope,upslope,http://upslopebrewing.com/,United States,Boulder,CO,40.0201,-105.21799999999999,1,448575338,"Fri, 05 May 2017 18:06:28 -0600","Fri, 05 May 2017 18:06:28 -0600",3.75,448575338,"Fri, 05 May 2017 18:06:28 -0600",-6
3.5,6.8,Tropical citrus hops burst from this dry-hopped Indian Pale Ale.,82,https://untappd.akamaized.net/site/beer_logos/beer-5382_a8418_sm.jpeg,Big Swell IPA,maui-brewing-company-big-swell-ipa,IPA - American,5382,"Sat, 21 Aug 2010 09:26:35 +0000",43728,3.66,False,1,836,https://untappd.akamaized.net/site/brewery_logos/brewery-836_fd28d.jpeg,Maui Brewing Company,maui-brewing-company,http://www.facebook.com/MauiBrewingCo,MauiBrewingCo,MauiBrewingCo,http://www.mauibrewing.com,United States,Kihei,HI,20.7495,-156.437,1,448084512,"Thu, 04 May 2017 17:35:04 -0600","Thu, 04 May 2017 17:35:04 -0600",3.5,448084512,"Thu, 04 May 2017 17:35:04 -0600",-6
3.25,6.2,"India Pale Ales are characterized by intense hop flavor and aroma accompanied by higher alcohol content. This style possesses medium maltiness and body while also being crisp and dry. Citrus flavors and aromas are moderate to very strong.

Alaskan IPA is honey gold in color with a fruity, citrus aroma. An enticing blend of hops and our dry hopping process, in which hops are added directly to tanks during fermentation, give this brew a very intense, complex aromatic character with a refreshing hop finish.

Alaskan IPA is made from glacier-fed water and a generous blend of the finest quality European and Pacific Northwest hop varieties and premium two-row and specialty malts. Our water originates in the 1,500-square-mile Juneau Ice Field and from more than 90 inches of rainfall each year.",55,https://untappd.akamaized.net/site/beer_logos/beer-IPA_4083.jpeg,IPA,alaskan-brewing-co-ipa,IPA - American,4083,"Sat, 21 Aug 2010 09:26:35 +0000",13940,3.458,False,1,17,https://untappd.akamaized.net/site/brewery_logos/brewery-17_9a0f2.jpeg,Alaskan Brewing Co.,alaskan-brewing-co,http://www.facebook.com/AlaskanBrewingCo,NO_INFORMATION,alaskanbrewing,http://www.alaskanbeer.com/,United States,Juneau,AK,58.3568,-134.489,1,447814293,"Wed, 03 May 2017 18:22:03 -0600","Wed, 03 May 2017 18:22:03 -0600",3.25,447814293,"Wed, 03 May 2017 18:22:03 -0600",-6
3.5,5.9,"Like a memorable adventure along U.S. Route 101, ""HI-5"" California Style IPA leads you down a road of pure adrenaline and beauty. Capturing the majestic flavor of citrusy hops that roll off your tongue like a white cap on an ocean wave, this scenic wonder will keep you in awe, sip after sip.

Released May 2014",80,https://untappd.akamaized.net/site/beer_logos/beer-556978_39b82_sm.jpeg,HI-5 IPA,terrapin-beer-co-hi-5-ipa,IPA - American,556978,"Fri, 10 Jan 2014 06:37:47 +0000",60577,3.775,False,1,1243,https://untappd.akamaized.net/site/brewery_logos/brewery-1243_f9dda.jpeg,Terrapin Beer Co. ,terrapin-beer-co,http://www.facebook.com/terrapinbeerco,terrapinbeerco,TerrapinBeerCo,http://terrapinbeer.com/,United States,Athens,GA,33.9804,-83.3957,1,444488164,"Mon, 24 Apr 2017 17:22:06 -0400","Mon, 24 Apr 2017 17:22:06 -0400",3.5,444488164,"Mon, 24 Apr 2017 17:22:06 -0400",-4
3.5,5.4,Just enough malt backbone to stand alongside the smooth bitterness of the hops. And then dry hopped with 3 different varietals makes this easy to be enjoyed time and again.,38,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,Workaholic American Pale Ale,crooked-can-workaholic-american-pale-ale,Pale Ale - American,1694800,"Thu, 18 Aug 2016 19:46:18 +0000",596,3.695,False,1,169865,https://untappd.akamaized.net/site/brewery_logos/brewery-169865_58314.jpeg,Crooked Can,crooked-can,https://www.facebook.com/crookedcanbrewingcompany,crookedcan,crookedcan,http://crookedcan.com/,United States,Winter Garden,FL,28.564,-81.5908,1,444142903,"Sun, 23 Apr 2017 15:11:01 -0400","Sun, 23 Apr 2017 15:11:01 -0400",3.5,444142903,"Sun, 23 Apr 2017 15:11:01 -0400",-4
3.25,5.8,"A crisp, refreshing Hawaiian-style pale ale. Its signature copper color results from the unique blend of specialty roasted malts. The pronounced citrus-floral hop aroma comes from the liberal amounts of Galena, Cascade & Mt. Hood hops added to each brew.",35,https://untappd.akamaized.net/site/beer_logos/beer-FireRock_8843.jpeg,Fire Rock,kona-brewing-company-fire-rock,Pale Ale - American,8843,"Fri, 12 Nov 2010 17:37:01 +0000",112673,3.463,False,1,1988,https://untappd.akamaized.net/site/brewery_logos/brewery-konabrewingcompany_1988.jpeg,Kona Brewing Company,kona-brewing-company,https://www.facebook.com/KonaBrewingCo,konabrewingco,KonaBrewingCo,http://konabrewingco.com/,United States,Kailua-Kona,HI,19.64,-155.997,1,442656513,"Thu, 20 Apr 2017 23:27:00 -0400","Thu, 20 Apr 2017 23:27:00 -0400",3.25,442656513,"Thu, 20 Apr 2017 23:27:00 -0400",-4
3.5,4.2,"Inspired by the city of Chicago and densely populated with flavor, 312’s spicy aroma of Cascade hops is followed by a crisp, fruity ale flavor delivered in a smooth, creamy body that's immensely refreshing.",18,https://untappd.akamaized.net/site/beer_logos/beer-5925_cec82_sm.jpeg,312 Urban Wheat Ale,goose-island-beer-co-312-urban-wheat-ale,Pale Wheat Ale - American,5925,"Thu, 30 Sep 2010 10:01:14 +0000",216915,3.452,False,1,2898,https://untappd.akamaized.net/site/brewery_logos/brewery-2898_7ee53.jpeg,Goose Island Beer Co.,goose-island-beer-co,https://m.facebook.com/Goose-Island-157863547303/,gooseisland,GooseIsland,http://www.gooseisland.com/,United States,Chicago,IL,41.8871,-87.6721,1,442527275,"Thu, 20 Apr 2017 19:24:32 -0400","Thu, 20 Apr 2017 19:24:32 -0400",3.5,442527275,"Thu, 20 Apr 2017 19:24:32 -0400",-4
3.25,5.4,Helles Lager with Orange Blossom.,18,https://untappd.akamaized.net/site/beer_logos/beer-1704023_5445d_sm.jpeg,Fresh As Helles,boston-beer-company-fresh-as-helles,Lager - Helles,1704023,"Thu, 25 Aug 2016 13:25:48 +0000",45688,3.464,False,1,157,https://untappd.akamaized.net/site/brewery_logos/brewery-157_6a2d2.jpeg,Boston Beer Company,boston-beer-company,https://www.facebook.com/SamuelAdams,samueladamsbeer,SamuelAdamsBeer,http://www.samueladams.com,United States,Boston,MA,42.3144,-71.1034,1,441819734,"Mon, 17 Apr 2017 22:49:57 -0400","Mon, 17 Apr 2017 22:49:57 -0400",3.25,441819734,"Mon, 17 Apr 2017 22:49:57 -0400",-4
3.75,5.4,NO_INFORMATION,0,https://untappd.akamaized.net/site/beer_logos/beer-1104596_6d24b_sm.jpeg,Cloud Chaser,crooked-can-cloud-chaser,Hefeweizen,1104596,"Fri, 29 May 2015 21:51:36 +0000",2982,3.7119999999999997,False,1,169865,https://untappd.akamaized.net/site/brewery_logos/brewery-169865_58314.jpeg,Crooked Can,crooked-can,https://www.facebook.com/crookedcanbrewingcompany,crookedcan,crookedcan,http://crookedcan.com/,United States,Winter Garden,FL,28.564,-81.5908,1,441465602,"Sun, 16 Apr 2017 18:34:08 -0400","Sun, 16 Apr 2017 18:34:08 -0400",3.75,441465602,"Sun, 16 Apr 2017 18:34:08 -0400",-4
