auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,8.5,"White, smooth, compact head with a pale amber color that denotes the beer's distinctive maltiness. A rich aroma with aromatic hops, spices, and the typical fruity bouquet of a Belgian fermentable.",0,https://untappd.akamaized.net/site/beer_logos/beer-16631_fb81e_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-16631_ff005_hd.jpeg,Triple,brasserie-st-feuillien-triple,Belgian Tripel,16631,295,https://untappd.akamaized.net/site/brewery_logos/brewery-BrasserieStFeuillien_295.jpeg,Brasserie St-Feuillien,brasserie-st-feuillien,Macro Brewery,,,www.st-feuillien.com,Belgium,Le Roeulx,Hainaut,50.5019,4.10969,,,"Fri, 24 Dec 2010 12:21:09 +0000",0,1,,,,21687,3.74009,711,27291,24022,0,,,,,,5.0,"[{'beer': {'bid': 307576, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-16631_fb81e_sm.jpeg', 'beer_slug': 'brasserie-st-feuillien-triple-2005', 'beer_name': 'Triple (2005)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 375141, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-16631_fb81e_sm.jpeg', 'beer_slug': 'brasserie-st-feuillien-triple-2008', 'beer_name': 'Triple (2008)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 375143, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-16631_fb81e_sm.jpeg', 'beer_slug': 'brasserie-st-feuillien-triple-2009', 'beer_name': 'Triple (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 442977, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-16631_fb81e_sm.jpeg', 'beer_slug': 'brasserie-st-feuillien-triple-2012', 'beer_name': 'Triple (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 645953, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-16631_fb81e_sm.jpeg', 'beer_slug': 'brasserie-st-feuillien-triple-2014', 'beer_name': 'Triple (2014)', 'is_vintage': 1, 'is_variant': 0}}]",3.73885,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Johnny Mash,berkshire-mountain-brewers-johnny-mash,Cider,16632,10506,https://untappd.akamaized.net/site/brewery_logos/brewery-BarringtonBrewery_10506.jpeg,Barrington Brewery,barrington-brewery,Micro Brewery,http://www.facebook.com/pages/Barrington-Brewery/172038928188,barringtonbrew,http://www.barringtonbrewery.net/,United States,Great Barrington,MA,42.2135,-73.3444,,,"Fri, 24 Dec 2010 12:23:02 +0000",0,1,,,,35,3.60714,0,57,49,0,,,,,,0.0,[],3.64186,False
0,11.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-FiggyPudding_11963.jpeg,,Figgy Pudding,block-15-brewing-company-figgy-pudding,Strong Ale - English,11963,1735,https://untappd.akamaized.net/site/brewery_logos/brewery-1735_cb3b7.jpeg,Block 15 Brewing Company,block-15-brewing-company,Brew Pub,https://www.facebook.com/Block15Brewing,block15brewing,http://block15.com/,United States,Corvallis,OR,44.5624,-123.262,,,"Mon, 29 Nov 2010 15:28:33 +0000",0,1,11963.0,"Fri, 21 Oct 2011 00:39:15 +0000",16633.0,1550,4.00839,11,2089,1779,0,,,,,,,,3.94961,False
0,6.5,"Double has undergone two fermentations, which gives this ale a chocolatey, toffee taste with a warming brandy-like finish.
",22,https://untappd.akamaized.net/site/beer_logos/beer-GrimbergenDubbel_7364.jpeg,,Grimbergen Dubbel,brouwerij-alken-maes-heineken-grimbergen-dubbel,Belgian Dubbel,7364,264,https://untappd.akamaized.net/site/brewery_logos/brewery-BrouwerijAlkenMaesHeineken_264.jpeg,Brouwerij Alken-Maes,brouwerij-alken-maes,Macro Brewery,https://www.facebook.com/AlkenMaes,,http://www.alken-maes.be/,Belgium,Mechelen,Antwerpen,51.0518,4.45415,,,"Fri, 05 Nov 2010 13:16:57 +0000",0,1,7364.0,"Thu, 01 Jan 1970 00:00:00 +0000",16634.0,54404,3.64917,1636,80554,60440,0,,,,,,5.0,"[{'beer': {'bid': 1599441, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-GrimbergenDubbel_7364.jpeg', 'beer_slug': 'brouwerij-alken-maes-grimbergen-dubbel-2016', 'beer_name': 'Grimbergen Dubbel (2016)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1620033, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-GrimbergenDubbel_7364.jpeg', 'beer_slug': 'brouwerij-alken-maes-grimbergen-dubbel-1995', 'beer_name': 'Grimbergen Dubbel (1995)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1666316, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-GrimbergenDubbel_7364.jpeg', 'beer_slug': 'brouwerij-alken-maes-grimbergen-dubbel-2003', 'beer_name': 'Grimbergen Dubbel (2003)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1709868, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-GrimbergenDubbel_7364.jpeg', 'beer_slug': 'brouwerij-alken-maes-grimbergen-dubbel-2011', 'beer_name': 'Grimbergen Dubbel (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1768882, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-GrimbergenDubbel_7364.jpeg', 'beer_slug': 'brouwerij-alken-maes-grimbergen-dubbel-1992', 'beer_name': 'Grimbergen Dubbel (1992)', 'is_vintage': 1, 'is_variant': 0}}]",3.64918,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,The Special Relationship,better-angels-homebrewery-the-special-relationship,Red Ale - American Amber / Red,16635,4313,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Better Angels Homebrewery,better-angels-homebrewery,Home Brewery,,,,United States,,,0.0,0.0,,,"Fri, 24 Dec 2010 12:44:25 +0000",1,1,,,,0,0.0,0,3,1,0,,,,,,0.0,[],3.786,False
0,6.9,,0,https://untappd.akamaized.net/site/beer_logos/beer-16636_79b43_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-16636_63d7e_hd.jpeg,Milwaukee's Best Ice,miller-brewing-company-milwaukee-s-best-ice,Lager - North American Adjunct,16636,863,https://untappd.akamaized.net/site/brewery_logos/brewery-millerBrewing.jpg,Miller Brewing Company,miller-brewing-company,Macro Brewery,http://www.facebook.com/MillerCoors,MillerCoors,http://www.millercoors.com,United States,Milwaukee,WI,43.0426,-87.9628,,,"Fri, 24 Dec 2010 12:45:32 +0000",0,1,,,,7341,1.83919,192,13867,9489,0,,,,,,0.0,[],1.91146,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Blonde Ale,homebrew-blonde-ale,Blonde Ale,16638,1775,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Homebrew,homebrew,Home Brewery,,,,Other,,,0.0,0.0,,,"Fri, 24 Dec 2010 13:00:00 +0000",1,1,,,,1137,3.54156,5,2230,1303,0,,,,,,0.0,[],3.54199,False
0,7.4,"Golden, bubbly, with subtle sweetness and more intensity and complexity than Farmhouse. Smells of a delicious array of fruits, with mysterious aromatic notes that defy words. Flavor offers a life-enhancing, appetite-sharpening balance of sweetness, acid, astringency, and fruitiness. Alcohol content 7.4% by volume. Available in 750 ml bottle with full cork closure.",0,https://untappd.akamaized.net/site/beer_logos/beer-_16639_sm_ece081cc78073eb1dc083dd61d3479.jpeg,,Semi-Dry Cider,farnum-hill-ciders-semi-dry-cider,Cider,16639,4251,https://untappd.akamaized.net/site/brewery_logos/brewery-FarnumHillCiders_4251.jpeg,Farnum Hill Ciders,farnum-hill-ciders,Cidery / Meadery,http://www.facebook.com/FarnumHillCiders,farnumhillcider,http://www.povertylaneorchards.com/farnum-hill-ciders/,United States,Lebanon,NH,43.6028,-72.289,,,"Fri, 24 Dec 2010 13:02:09 +0000",0,1,,,,321,3.58567,3,409,387,0,,,,,,0.0,[],3.61744,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Black on Black Porter,xbigdanx-s-homebrew-black-on-black-porter,Porter - American,16640,3031,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,xBigDanx's Homebrew,xbigdanx-s-homebrew,Home Brewery,,,,United States,,,0.0,0.0,,,"Fri, 24 Dec 2010 13:06:11 +0000",1,1,,,,0,0.0,0,3,1,0,,,,,,0.0,[],3.786,False
0,0.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-16641_5bd17_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-16641_fce12_hd.jpeg,Golden Light,industrias-la-constancia-golden-light,Golden Ale,16641,56613,https://untappd.akamaized.net/site/brewery_logos/brewery-IndustriasLaConstancia_56613_73c88.jpeg,Industrias La Constancia,industrias-la-constancia,Macro Brewery,,,http://www.laconstancia.com/,El Salvador,,San Salvador.,13.7,-89.1823,,,"Fri, 24 Dec 2010 13:10:41 +0000",0,1,,,,54,2.50463,6,79,67,0,,,,,,0.0,[],3.47848,False
