auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintages.count,vintages.items,weighted_rating_score,wish_list
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Hill Street Honey,breakwater-brewing-co-hill-street-honey,Blonde Ale,26835,2269,https://untappd.akamaized.net/site/brewery_logos/brewery-BreakwaterBrewingCo_2269.jpeg,Breakwater Brewing Company,breakwater-brewing-company,Micro Brewery,http://www.facebook.com/pages/Breakwater-Brewing-Company/92183371892,Breakwaterbrew,http://breakwaterbrewing.com/,United States,Oceanside,CA,33.1951,-117.379,"Thu, 27 Jan 2011 11:22:20 +0000",0,1,,,,0,0.0,0,1,1,0,0,[],3.59537,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Gunflint Ale,jacob-leinenkugel-brewing-company-gunflint-ale,Blonde Ale,26837,708,https://untappd.akamaized.net/site/brewery_logos/brewery-JacobLeinenkugelBrewingCompany_708.jpeg,Jacob Leinenkugel Brewing Company,jacob-leinenkugel-brewing-company,Macro Brewery,http://www.facebook.com/Leinenkugels,Leinenkugels,http://leinie.com,United States,Chippewa Falls,WI,44.9433,-91.3953,"Thu, 27 Jan 2011 11:24:09 +0000",0,1,,,,1,0.0,0,2,2,0,0,[],3.57953,False
0,5.0,"Our lightest offering, Gresham light is crisp, clean and refreshing! it is the closest we have to a domestic lager. Light in color and body, this is a great beer to get your night started.",0,https://untappd.akamaized.net/site/beer_logos/beer-GreshamLight_26838.jpeg,,Gresham Light,4th-street-brewing-co-gresham-light,Blonde Ale,26838,3773,https://untappd.akamaized.net/site/brewery_logos/brewery-4thStreetBrewingCo_3773.jpeg,4th Street Brewing Co,4th-street-brewing-co,Micro Brewery,http://www.facebook.com/4thstreetbrewing,4thStBrewing,http://www.4thstreetbrewing.com/,United States,Gresham,OR,45.5005,-122.43,"Thu, 27 Jan 2011 11:24:49 +0000",0,1,,,,11,3.22727,0,32,32,0,0,[],3.59832,False
0,0.0,A light yet malty ale balanced with a medium hop bitterness and aroma.,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Golden Ale,gruhlke-brewery-golden-ale,Blonde Ale,26839,30265,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Gruhlke's Microbrewery,gruhlke-s-microbrewery,Micro Brewery,,,www.biaswinery.com/micro.html,United States,Berger,MO,38.6704,-91.3222,"Thu, 27 Jan 2011 11:25:28 +0000",0,1,,,,3,0.0,0,4,4,0,0,[],3.54827,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Gluten Free Golden Ale,deschutes-brewery-gluten-free-golden-ale,Gluten-Free,26840,441,https://untappd.akamaized.net/site/brewery_logos/brewery-441_8b2ad.jpeg,Deschutes Brewery,deschutes-brewery,Micro Brewery,http://www.facebook.com/deschutes.brewery,deschutesbeer,http://www.deschutesbrewery.com,United States,Bend,OR,44.0468,-121.322,"Thu, 27 Jan 2011 11:26:19 +0000",0,1,,,,3,0.0,0,36,34,0,0,[],3.58623,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Ghetto Booty Blonde,kelley-brothers-brewing-company-ghetto-booty-blonde,Blonde Ale,26841,7326,https://untappd.akamaized.net/site/brewery_logos/brewery-KelleyBrothersBrewingCompany_7326.jpeg,Kelley Brothers Brewing Company,kelley-brothers-brewing-company,Micro Brewery,,,,United States,Manteca,CA,37.7971,-121.216,"Thu, 27 Jan 2011 11:27:36 +0000",0,0,,,,3,0.0,0,4,4,0,0,[],3.54827,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Galaxy Golden Ale,lunar-brewing-co-galaxy-golden-ale,Blonde Ale,26842,2725,https://untappd.akamaized.net/site/brewery_logos/brewery-LunarBrewingCo_2725.jpeg,Lunar Brewing Co.,lunar-brewing-co,Brew Pub,http://www.facebook.com/lunarbrewco,,,United States,Villa Park,IL,41.8901,-87.9766,"Thu, 27 Jan 2011 11:28:33 +0000",0,1,,,,1,0.0,0,1,1,0,0,[],3.57953,False
0,4.75,"This classic American style ale is made using American malts and fermented at a lower temperature to give it a clean mellow finish. This is a terrific cross-over beer for those who enjoy light, easy drinking ales!",17,https://untappd.akamaized.net/site/beer_logos/beer-69638_2b300_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-69638_ab7ed_hd.jpeg,American Blonde Ale,frankenmuth-brewery-american-blonde-ale,Blonde Ale,69638,9706,https://untappd.akamaized.net/site/brewery_logos/brewery-9706_d03a8.jpeg,Frankenmuth Brewery,frankenmuth-brewery,Micro Brewery,http://www.facebook.com/frankenmuthbrewery,FB1862,http://www.frankenmuthbrewery.com/,United States,Frankenmuth,MI,43.331,-83.7379,"Fri, 05 Aug 2011 22:55:42 +0000",0,1,69638.0,"Tue, 24 Jan 2012 20:25:59 +0000",26843.0,1569,3.23614,13,1989,1812,0,0,[],3.30366,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Baja Blonde,franconia-brewing-company-baja-blonde,Blonde Ale,26844,7329,https://untappd.akamaized.net/site/brewery_logos/brewery-FranconiaBrewingCompany_7329.jpeg,Franconia Brewing Company ,franconia-brewing-company,Micro Brewery,,FranconiaBrew,http://www.franconiabrewing.com/,United States,McKinney,TX,33.2134,-96.6091,"Thu, 27 Jan 2011 11:30:03 +0000",0,1,,,,44,3.28409,0,60,59,0,0,[],3.60427,False
0,4.9,Traditional German Helles made with all German malts and hops.  Subtle balance of noble Hallertau and Pilsner malt. Layered for a minimum of 9 weeks. ,18,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Easy Blonde,big-horse-brew-pub-easy-blonde,Lager - Helles,26846,3506,https://untappd.akamaized.net/site/brewery_logos/brewery-BigHorseBrewPub_3506.jpeg,Big Horse Brew Pub,big-horse-brew-pub,Brew Pub,http://www.facebook.com/groups/26326507674/,,,United States,Hood River,OR,45.7081,-121.512,"Thu, 27 Jan 2011 11:31:48 +0000",0,1,,,,176,3.27983,0,210,200,0,0,[],3.51528,False
